Disease Name,Stage,Treatment Type,Mode Of Action,Treatment Name,Description,Priority Level,Precautionary Guidelines
Strawberry Leaf scorch,Early,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),Spray strawberry foliage with Bacillus subtilis strain QST 713 at 2–4 mL/L in water; repeat application every 7–10 days.,1,Avoid overhead irrigation to reduce leaf wetness and spore spread; Remove and destroy infected plant debris immediately.
,,,,,,,
Strawberry Leaf scorch,Early,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper hydroxide)",Apply it at 2-3 L/ha every 7-10 days during early disease development.,2,Avoid overhead irrigation to reduce leaf wetness and spore spread; Remove and destroy infected plant debris immediately.
Strawberry Leaf scorch,Moderate,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper hydroxide)",Apply it at 2-3 L/ha every 7-10 days during early disease development.,1,Avoid overhead irrigation to reduce leaf wetness and spore spread; Remove and destroy infected plant debris immediately.
Strawberry Leaf scorch,Moderate,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),Spray strawberry foliage with Bacillus subtilis strain QST 713 at 2–4 mL/L in water; repeat application every 7–10 days.,2,Avoid overhead irrigation to reduce leaf wetness and spore spread; Remove and destroy infected plant debris immediately.
,,,,,,,
Strawberry Leaf scorch,Severe,Chemical,Systemic Fungicide,Propiconazole,"Apply at a rate of 0.5 mL/L water, with applications every 7 days for 2–3 consecutive sprays.",1,Avoid overhead irrigation to reduce leaf wetness and spore spread; Remove and destroy infected plant debris immediately.
,,Control,,"25% EC (e.g., Tilt)",,,
,,,,,,,
,,,,,,,
Tomato Bacterialspot,Early,Biological Control,Microbial Biological Agents,beneficial fungal,"Use beneficial fungal (Trichoderma viride, T. harzianum, T. album) at a concentration of 2.5×10^7 spores/mL, applying 5 mL per plant twice.",1,Avoid overhead irrigation. Disinfect tools and equipment regularly to prevent transmission. Avoid planting tomatoes or peppers in the same soil for at least years.
,,,,"(Trichoderma viride, T. harzianum, T. album)",,,
Tomato Bacterialspot,Early,Chemical Control,Contact Fungicide,Copper hydroxide + Mancozeb (Cu-Manc),Spray tomato plants weekly with a mixture of copper hydroxide (Kocide 3000 at 2.2 g/L) and mancozeb (Penncozeb 75DF at 2.4 g/L) applied 9-10 times.,2,Avoid overhead irrigation. Disinfect tools and equipment regularly to prevent transmission. Avoid planting tomatoes or peppers in the same soil for at least years.
Tomato Bacterialspot,Moderate,Chemical Control,Contact Fungicide,Copper hydroxide + Mancozeb (Cu-Manc),Spray tomato plants weekly with a mixture of copper hydroxide (Kocide 3000 at 2.2 g/L) and mancozeb (Penncozeb 75DF at 2.4 g/L) applied 9-10 times.,1,Avoid overhead irrigation. Disinfect tools and equipment regularly to prevent transmission. Avoid planting tomatoes or peppers in the same soil for at least years.
Tomato Bacterialspot,Moderate,Biological Control,Microbial Biological Agents,beneficial fungal,"Use beneficial fungal (Trichoderma viride, T. harzianum, T. album) at a concentration of 2.5×10^7 spores/mL, applying 5 mL per plant twice.",2,Avoid overhead irrigation. Disinfect tools and equipment regularly to prevent transmission. Avoid planting tomatoes or peppers in the same soil for at least years.
,,,,"(Trichoderma viride, T. harzianum, T. album)",,,
Tomato Bacterialspot,Severe,Chemical,Systemic Fungicide,Streptomycin sulfate + Acibenzolar-S-methyl (STR+ASM),Spray tomato plants weekly with a tank mixture of streptomycin sulfate (1.2 g/L) and acibenzolar-S- methyl (0.06 g/L) for 9-10 consecutive weeks.,1,Avoid overhead irrigation. Disinfect tools and equipment regularly to prevent transmission. Avoid planting tomatoes or peppers in the same soil for at least years.
,,Control,,,,,
,,,,,,,
Tomato Early blight,Early,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),"Spray each plant with 40 mL of the Beneficial bacterial (Bacillus subtilis J3: Pseudomonas fluorescens J8 at a 2: 3 volume ratio, 1 × 10^9 CFU/mL, then 3 days later, spray 40 mL of the conidial suspension.",1,"Apply mulch around the base of plants to reduce soil splash that carries spores; Avoid overhead irrigation to reduce leaf wetness. Avoid planting solanaceous plants (tomato, potato, nightshade, etc.) in the same soil for 2-3 years."
,,,,,,,
Tomato Early blight,Early,Chemical Control,Contact Fungicide,chlorothalonil,Apply it at 1.5-2 kg/ha every 7-10 days upon symptoms.,2,"Apply mulch around the base of plants to reduce soil splash that carries spores; Avoid overhead irrigation to reduce leaf wetness. Avoid planting solanaceous plants (tomato, potato, nightshade, etc.) in the same soil for 2-3 years."
Tomato Early blight,Moderate,Chemical Control,Contact Fungicide,chlorothalonil,Apply it at 1.5-2 kg/ha every 7-10 days upon symptoms.,1,"Apply mulch around the base of plants to reduce soil splash that carries spores; Avoid overhead irrigation to reduce leaf wetness. Avoid planting solanaceous plants (tomato, potato, nightshade, etc.) in the same soil for 2-3 years."
Tomato Early blight,Moderate,Biological Control,Microbial Biological Agents,Beneficial Bacterium (Bacillus subtilis),"Spray each plant with 40 mL of the Beneficial bacterial (Bacillus subtilis J3: Pseudomonas fluorescens J8 at a 2: 3 volume ratio, 1 × 10^9 CFU/mL, then 3 days later, spray 40 mL of the conidial suspension.",2,"Apply mulch around the base of plants to reduce soil splash that carries spores; Avoid overhead irrigation to reduce leaf wetness. Avoid planting solanaceous plants (tomato, potato, nightshade, etc.) in the same soil for 2-3 years."
,,,,,,,
Tomato Early blight,Severe,Chemical,Systemic Fungicide,Azoxystrobin,Apply Azoxystrobin at 200–300 mL/ha and repeat the application every 7–14 days during periods of infection.,1,"Apply mulch around the base of plants to reduce soil splash that carries spores; Avoid overhead irrigation to reduce leaf wetness. Avoid planting solanaceous plants (tomato, potato, nightshade, etc.) in the same soil for 2-3 years."
,,Control,,25% SC e.g. Ortiva,,,
,,,,,,,
,,,,,,,
Tomato Late blight,Early,Biological Control,Microbial Biological Agents,fungal biocontrol (Trichoderma harzianum or Trichoderma asperellum),"Apply Trichoderma harzianum or Trichoderma asperellum as a root drench at 3 g/L, and repeat every two weeks at 1.5 g/L.",1,Use drip irrigation; Ensure proper plant spacing to improve air circulation; Remove and destroy infected plant debris immediately.
Tomato Late blight,Early,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper oxychloride)","Use it at 2-3 kg/ha every 10 days. Apply Early morning or late afternoon, especially during periods of high humidity or after rainfall.",2,Use drip irrigation; Ensure proper plant spacing to improve air circulation; Remove and destroy infected plant debris immediately.
Tomato Late blight,Moderate,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper oxychloride)","Use it at 2-3 kg/ha every 10 days. Apply Early morning or late afternoon, especially during periods of high humidity or after rainfall.",1,Use drip irrigation; Ensure proper plant spacing to improve air circulation; Remove and destroy infected plant debris immediately.
Tomato Late blight,Moderate,Biological Control,Microbial Biological Agents,fungal biocontrol (Trichoderma harzianum or Trichoderma asperellum),"Apply Trichoderma harzianum or Trichoderma asperellum as a root drench at 3 g/L, and repeat every two weeks at 1.5 g/L.",2,Use drip irrigation; Ensure proper plant spacing to improve air circulation; Remove and destroy infected plant debris immediately.
Tomato Late blight,Severe,Chemical,Systemic Fungicide,metalaxyl,"Spray it at 250-500 ml/ha every 7-10 days, 2-3 consecutive applications.",1,Use drip irrigation; Ensure proper plant spacing to improve air circulation; Remove and destroy infected plant debris immediately.
,,Control,,,,,
,,,,,,,
Tomato Leaf Mold,Early,Biological Control,Microbial Biological Agents,beneficial bacterium (Streptomyces albidoflavus L131),Spray tomato leaves with Streptomyces albidoflavus L131 at 100 µg/mL. every 48 hours for 7-10 days.,1,Ensure proper plant spacing and greenhouse ventilation to reduce humidity; use drip irrigation to keep foliage dry.
Tomato Leaf Mold,Early,Chemical Control,Contact Fungicide,Mancozeb,Spray mancozeb at 1.5-2 kg/ha. Applied 7-10 days for 2-3 applications. Preferably in the early morning or evening.,2,Ensure proper plant spacing and greenhouse ventilation to reduce humidity; use drip irrigation to keep foliage dry.
,,,,80% WP e.g. Dithane M45,,,
Tomato Leaf Mold,Moderate,Chemical Control,Contact Fungicide,Mancozeb,Spray mancozeb at 1.5-2 kg/ha. Applied 7-10 days for 2-3 applications. Preferably in the early morning or evening.,1,Ensure proper plant spacing and greenhouse ventilation to reduce humidity; use drip irrigation to keep foliage dry.
,,,,80% WP e.g. Dithane M45,,,
Tomato Leaf Mold,Moderate,Biological Control,Microbial Biological Agents,beneficial bacterium (Streptomyces albidoflavus L131),Spray tomato leaves with Streptomyces albidoflavus L131 at 100 µg/mL. every 48 hours for 7-10 days.,2,Ensure proper plant spacing and greenhouse ventilation to reduce humidity; use drip irrigation to keep foliage dry.
Tomato Leaf Mold,Severe,Chemical,Systemic Fungicide,Difenoconazole,"Spray tomato foliage with difenoconazole at 0.5 mL/L in water, applied every 7 days for 2–3 consecutive applications.",1,Ensure proper plant spacing and greenhouse ventilation to reduce humidity; use drip irrigation to keep foliage dry.
,,Control,,,,,
,,,,,,,
Tomato Septoria leaf spot,Early,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus subtilis QST713),"Spray it at 274 mg/L, and repeat the application every 15 days under favorable disease conditions. Avoid mixing with copper-based fungicides.",1,Avoid growing tomato or other solanaceous crops in the same soil for at least 2 years; Provide good air circulation and avoid overcrowding plants; Use drip irrigation to avoid wetting foliage.
Tomato Septoria leaf spot,Early,Chemical Control,Contact Fungicide,Mancozeb,Use mancozeb at 1.5–2 kg/ha; reapply every 7–10 days or after rainfall.,2,Avoid growing tomato or other solanaceous crops in the same soil for at least 2 years; Provide good air circulation and avoid overcrowding plants; Use drip irrigation to avoid wetting foliage.
,,,,80% WP e.g. Dithane M45,,,
Tomato Septoria leaf spot,Moderate,Chemical Control,Contact Fungicide,Mancozeb,Use mancozeb at 1.5–2 kg/ha; reapply every 7–10 days or after rainfall.,1,Avoid growing tomato or other solanaceous crops in the same soil for at least 2 years; Provide good air circulation and avoid overcrowding plants; Use drip irrigation to avoid wetting foliage.
,,,,80% WP e.g. Dithane M45,,,
Tomato Septoria leaf spot,Moderate,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus subtilis QST713),"Spray it at 274 mg/L, and repeat the application every 15 days under favorable disease conditions. Avoid mixing with copper-based fungicides.",2,Avoid growing tomato or other solanaceous crops in the same soil for at least 2 years; Provide good air circulation and avoid overcrowding plants; Use drip irrigation to avoid wetting foliage.
Tomato Septoria leaf spot,Severe,Chemical,Systemic Fungicide,Azoxystrobin,"Spray tomato foliage with azoxystrobin at a rate of 0.75–1.0 mL/L water, applied every 7 days for 2–3 consecutive applications.",1,Avoid growing tomato or other solanaceous crops in the same soil for at least 2 years; Provide good air circulation and avoid overcrowding plants; Use drip irrigation to avoid wetting foliage.
,,Control,,25% SC e.g. Ortiva,,,
,,,,,,,
,,,,,,,
Tomato Spider mites Two spotted spider mite,Early,Biological Control,Natural Agent,neem oil,"Spray the plant leaves with neem oil at a concentration of 0.5% (i.e., 500 ml per 100 liters of water) using a fine sprayer at a rate of 4 ml per leaf, twice at 10-day intervals.",1,Avoid planting near known host plants like beans or strawberries; Remove weeds and plant debris that may host spider mites.
Tomato Spider mites Two spotted spider mite,Early,Chemical Control,Contact Fungicide,bifenazate or spiromesifen,"Use bifenazate or spiromesifen at 0.4–0.6 L/ha, and repeat the application every 7–10 days or after rainfall.",2,Avoid planting near known host plants like beans or strawberries; Remove weeds and plant debris that may host spider mites.
Tomato Spider mites Two spotted spider mite,Moderate,Chemical Control,Contact Fungicide,bifenazate or spiromesifen,"Use bifenazate or spiromesifen at 0.4–0.6 L/ha, and repeat the application every 7–10 days or after rainfall.",1,Avoid planting near known host plants like beans or strawberries; Remove weeds and plant debris that may host spider mites.
Tomato Spider mites Two spotted spider mite,Moderate,Biological Control,Natural Agent,neem oil,"Spray the plant leaves with neem oil at a concentration of 0.5% (i.e., 500 ml per 100 liters of water) using a fine sprayer at a rate of 4 ml per leaf, twice at 10-day intervals. ",2,Avoid planting near known host plants like beans or strawberries; Remove weeds and plant debris that may host spider mites.
Tomato Spider mites Two spotted spider mite,Severe,Chemical,Systemic Fungicide,abamectin (miticide),"Apply abamectin (miticide) at 0.5–1 L/ha, and repeat the application every 5–7 days for 2–3 consecutive applications.",1,Avoid planting near known host plants like beans or strawberries; Remove weeds and plant debris that may host spider mites.
,,Control,,,,,
,,,,,,,
Tomato Target Spot,Early,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus subtilis),"Spray Bacillus subtilis (strain QST 713) weekly at a rate of 4.5 kg/ha, repeat until one week before harvest.",1,Ensure good air circulation by spacing plants properly and pruning lower leaves; Avoid overhead irrigation to reduce leaf wetness.
Tomato Target Spot,Early,Chemical Control,Contact Fungicide,chlorothalonil,Apply it at 1.5-2 kg/ha every 7-10 days for 2–3 applications upon symptoms.,2,Ensure good air circulation by spacing plants properly and pruning lower leaves; Avoid overhead irrigation to reduce leaf wetness.
Tomato Target Spot,Moderate,Chemical Control,Contact Fungicide,chlorothalonil,Apply it at 1.5-2 kg/ha every 7-10 days for 2–3 applications upon symptoms.,1,Ensure good air circulation by spacing plants properly and pruning lower leaves; Avoid overhead irrigation to reduce leaf wetness.
Tomato Target Spot,Moderate,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus subtilis),"Spray Bacillus subtilis (strain QST 713) weekly at a rate of 4.5 kg/ha, repeat until one week before harvest.",2,Ensure good air circulation by spacing plants properly and pruning lower leaves; Avoid overhead irrigation to reduce leaf wetness.
Tomato Target Spot,Severe,Chemical,Systemic Fungicide,Azoxystrobin,"Use Azoxystrobin (200–300 mL/ha) or difenoconazole (250–300 mL/ha), reapply every 7 days with rotation.",1,Ensure good air circulation by spacing plants properly and pruning lower leaves; Avoid overhead irrigation to reduce leaf wetness.
,,Control,,25% SC e.g. Ortiva,,,
,,,,or difenoconazole,,,
,,,,,,,
Tomato mosaic virus,Early,Biological Control,Microbial Biological Agents,microalgal extract (Dunaliella salina or Chlorella vulgaris),"Apply microalgal extract as a soil drench at a concentration of 6.0 x 10^6 cells/mL, using 10 mL per seedling, repeated every 7 days for 2–3 applications.",1,"Remove and destroy infected plants immediately upon detection. Disinfect tools and hands with a 10% bleach solution, or use soap. Rotate tomatoes for 2 years, avoiding peppers, eggplant, cucurbits, and tobacco."
(ToMV),,,,,,,
,,,,,,,
Tomato mosaic virus,Early,Chemical Control,Contact Fungicide,mineral oils,Spray mineral oils (at 1%) weekly to reduce the spread of the virus.,2,"Remove and destroy infected plants immediately upon detection. Disinfect tools and hands with a 10% bleach solution, or use soap. Rotate tomatoes for 2 years, avoiding peppers, eggplant, cucurbits, and tobacco."
(ToMV),,,,,,,
,,,,,,,
Tomato mosaic virus,Moderate,Chemical Control,Contact Fungicide,mineral oils,Spray mineral oils (at 1%) weekly to reduce the spread of the virus.,1,"Remove and destroy infected plants immediately upon detection. Disinfect tools and hands with a 10% bleach solution, or use soap. Rotate tomatoes for 2 years, avoiding peppers, eggplant, cucurbits, and tobacco."
(ToMV),,,,,,,
,,,,,,,
Tomato mosaic virus,Moderate,Biological Control,Microbial Biological Agents,microalgal extract (Dunaliella salina or Chlorella vulgaris),"Apply microalgal extract as a soil drench at a concentration of 6.0 x 10^6 cells/mL, using 10 mL per seedling, repeated every 7 days for 2–3 applications.",2,"Remove and destroy infected plants immediately upon detection. Disinfect tools and hands with a 10% bleach solution, or use soap. Rotate tomatoes for 2 years, avoiding peppers, eggplant, cucurbits, and tobacco."
(ToMV),,,,,,,
,,,,,,,
Tomato mosaic virus,Severe,Chemical,Systemic Fungicide,Acibenzolar-S-methyl,Apply acibenzolar-S-methyl as a systemic resistance inducer at a rate of 003–006 g/L water applied every 7 days for 2–3 consecutive applications.,1,"Remove and destroy infected plants immediately upon detection. Disinfect tools and hands with a 10% bleach solution, or use soap. Rotate tomatoes for 2 years, avoiding peppers, eggplant, cucurbits, and tobacco."
(ToMV),,Control,,,,,
,,,,,,,
,,,,,,,
Tomato Yellow Leaf Curl Virus (TYLCV),Early,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus amyloliquefaciens Ba13),"Apply Bacillus amyloliquefaciens Ba13 to the tomato seedling roots at a concentration of 10^8 CFU/mL, repeated every 7 days for 2–3 applications.",1,"Remove the infected plants and burn them. Use yellow sticky traps to monitor and control whiteflies. Avoid planting tomatoes near other susceptible hosts, such as peppers."
Tomato Yellow Leaf Curl Virus (TYLCV),Early,Chemical Control,Contact Fungicide,Pyriproxyfen,"Use it as a foliar spray every 7-10 days to prevent whitefly reproduction. Rotate with Spiromesifen or Buprofezin to avoid insecticide resistance, applying every 10-14 days.",2,"Remove the infected plants and burn them. Use yellow sticky traps to monitor and control whiteflies. Avoid planting tomatoes near other susceptible hosts, such as peppers."
Tomato Yellow Leaf Curl Virus (TYLCV),Moderate,Chemical Control,Contact Fungicide,Pyriproxyfen,"Use it as a foliar spray every 7-10 days to prevent whitefly reproduction. Rotate with Spiromesifen or Buprofezin to avoid insecticide resistance, applying every 10-14 days.",1,"Remove the infected plants and burn them. Use yellow sticky traps to monitor and control whiteflies. Avoid planting tomatoes near other susceptible hosts, such as peppers."
Tomato Yellow Leaf Curl Virus (TYLCV),Moderate,Biological Control,Microbial Biological Agents,beneficial bacterium (Bacillus amyloliquefaciens Ba13),"Apply Bacillus amyloliquefaciens Ba13 to the tomato seedling roots at a concentration of 10^8 CFU/mL, repeated every 7 days for 2–3 applications.",2,"Remove the infected plants and burn them. Use yellow sticky traps to monitor and control whiteflies. Avoid planting tomatoes near other susceptible hosts, such as peppers."
Tomato Yellow Leaf Curl Virus (TYLCV),Severe,Chemical,Systemic Fungicide,lmidacloprid,Apply it as a soil drench or foliar spray at 0.5-1 ml/L every 10-14 days.,1,"Remove the infected plants and burn them. Use yellow sticky traps to monitor and control whiteflies. Avoid planting tomatoes near other susceptible hosts, such as peppers."
,,Control,,,,,
